id,chapter,section,subsection,page,text,text_clean,word_count,x,y,cluster,neighbors,display_section
p0010,Part 1: General Information,Who We Are,,11,"Duke Kunshan is governed by an independent Board of Trustees and operates under a set of guiding principles that are consistent with those of world-leading universities. Administrative operations are in the charge of the university leadership team, headed by the Chancellor and the Executive Vice Chancellor. Feng Youmei, Duke Kunshan University Chancellor, is a professor, the former Executive Vice President of Wuhan University and the Vice Chairwoman for the Medical Education Committee of the China Association of Higher Education. She has profound expertise in medical education as well as abundant experience in university administration. Executive Vice Chancellor Al Bloom is a recognized global education leader and a scholar of psychology and language with a special focus on Chinese language and culture. Prior to joining DKU, Dr. Bloom","Duke Kunshan is governed by an independent Board of Trustees and operates under a set of guiding principles that are consistent with those of world-leading universities. Administrative operations are in the charge of the university leadership team, headed by the Chancellor and the Executive Vice Chancellor. Feng Youmei, Duke Kunshan University Chancellor, is a professor, the former Executive Vice President of Wuhan University and the Vice Chairwoman for the Medical Education Committee of the China Association of Higher Education. She has profound expertise in medical education as well as abundant experience in university administration. Executive Vice Chancellor Al Bloom is a recognized global education leader and a scholar of psychology and language with a special focus on Chinese language and culture. Prior to joining DKU, Dr. Bloom",127,7.285019,3.4560156,6,p0003|p0000|p0007|p0008|p0005,Other sections
p0011,Part 1: General Information,Who We Are,,12,served as the founding vice chancellor of NYU-Abu Dhabi for more than a decade and president of Swarthmore College for 18 years.,served as the founding vice chancellor of NYU-Abu Dhabi for more than a decade and president of Swarthmore College for 18 years.,22,7.906187,3.37546,7,p0417|p0411|p0010|p0190|p0332,Other sections
p0012,Part 1: General Information,Who We Are,,12,"Duke Kunshan University is a place for learning, living and self-discovery, in a setting that encourages the pursuit of knowledge within and beyond the classroom. Kunshan is located in close proximity to both Shanghai and Suzhou, two of the most developed metropolitan areas in China. Connected to both by high-speed rail and highways, the city of Kunshan is a center for business and high-tech research and manufacturing, and it has one of the fastest-growing economies in China. The 200-acre campus is in the Yangcheng Lake Science Park and features state-of-the-art classroom and meeting facilities, library resources, student and faculty housing and dining space, and recreational facilities.","Duke Kunshan University is a place for learning, living and self-discovery, in a setting that encourages the pursuit of knowledge within and beyond the classroom. Kunshan is located in close proximity to both Shanghai and Suzhou, two of the most developed metropolitan areas in China. Connected to both by high-speed rail and highways, the city of Kunshan is a center for business and high-tech research and manufacturing, and it has one of the fastest-growing economies in China. The 200-acre campus is in the Yangcheng Lake Science Park and features state-of-the-art classroom and meeting facilities, library resources, student and faculty housing and dining space, and recreational facilities.",106,7.1966577,3.4400284,6,p0003|p0007|p0027|p0029|p0000,Other sections
p0013,Part 1: General Information,Who We Are,,12,"Multipurpose meeting spaces, breakout rooms and study areas allow students to work individually or in groups to review course materials, complete assignments and participate in the vibrant intellectual life of the campus.","Multipurpose meeting spaces, breakout rooms and study areas allow students to work individually or in groups to review course materials, complete assignments and participate in the vibrant intellectual life of the campus.",32,7.6093926,2.5531793,7,p0418|p0422|p0426|p0427|p0006,Other sections
p0014,Part 1: General Information,Partners,Duke University,12,"A private comprehensive teaching and research university, Duke traces its roots to 1838, and officially became Duke University in 1924. In addition to liberal arts and engineering education at the undergraduate level, Duke offers graduate and professional study in arts and sciences, business, divinity, engineering, the environment, law, public policy, medicine and nursing. Duke enrolls more than 15,000 students in its undergraduate, graduate, and professional programs.","A private comprehensive teaching and research university, Duke traces its roots to 1838, and officially became Duke University in 1924. In addition to liberal arts and engineering education at the undergraduate level, Duke offers graduate and professional study in arts and sciences, business, divinity, engineering, the environment, law, public policy, medicine and nursing. Duke enrolls more than 15,000 students in its undergraduate, graduate, and professional programs.",66,7.905866,3.9776542,6,p0394|p0015|p0404|p0039|p0007,Other sections
p0015,Part 1: General Information,Partners,Duke University,12,"Duke’s home campus is situated on nearly 9,000 acres in Durham, North Carolina, USA, a city of more than 200,000 people. Duke also is active internationally through the Duke-NUS Graduate Medical School in Singapore, Duke Kunshan University in China and numerous research and education programs across the globe. More than 75 percent of Duke students pursue servicelearning opportunities in Durham and around the world through DukeEngage and other programs that advance the university’s mission of “knowledge in service to society.”","Duke’s home campus is situated on nearly 9,000 acres in Durham, North Carolina, USA, a city of more than 200,000 people. Duke also is active internationally through the Duke-NUS Graduate Medical School in Singapore, Duke Kunshan University in China and numerous research and education programs across the globe. More than 75 percent of Duke students pursue servicelearning opportunities in Durham and around the world through DukeEngage and other programs that advance the university’s mission of “knowledge in service to society.”",80,7.6552887,3.6882782,6,p0014|p0098|p0003|p0007|p0012,Other sections
p0016,Part 1: General Information,Partners,Wuhan University,12,"Located in Central China’s Hubei province, Wuhan University consistently ranks among the country’s top 10 universities and is a key comprehensive national university under the direct administration of the Ministry of Education.","Located in Central China’s Hubei province, Wuhan University consistently ranks among the country’s top 10 universities and is a key comprehensive national university under the direct administration of the Ministry of Education.",32,7.0683017,3.6647632,6,p0017|p0007|p0003|p0535|p0010,Other sections
p0017,Part 1: General Information,Partners,Wuhan University,12,"The college’s history can be traced back to the Ziqiang Institute founded in 1893 by Zhang Zhidong, governor-general of Hubei and Hunan provinces in the late Qing dynasty (1644-1911). In 1928, the institute was renamed as Wuhan National University.","The college’s history can be traced back to the Ziqiang Institute founded in 1893 by Zhang Zhidong, governor-general of Hubei and Hunan provinces in the late Qing dynasty (1644-1911). In 1928, the institute was renamed as Wuhan National University.",39,7.1198287,3.6015248,6,p0016|p0007|p0003|p0008|p0027,Other sections
p0018,Part 1: General Information,Partners,Wuhan University,12,"Its campus is regarded as one of the most beautiful in the country, boasting palatial buildings that blend Eastern and Western architectural styles.","Its campus is regarded as one of the most beautiful in the country, boasting palatial buildings that blend Eastern and Western architectural styles.",23,6.869047,3.0643184,7,p0487|p0009|p0006|p0038|p0424,Other sections
p0019,Part 1: General Information,Partners,Wuhan University,13,"The university enjoys partnerships with more than 400 universities and research institutes in over 45 countries and regions, while its more than 300,000 alumni includes at least 100 members of the Chinese Academy of Science and the Chinese Academy of Engineering.","The university enjoys partnerships with more than 400 universities and research institutes in over 45 countries and regions, while its more than 300,000 alumni includes at least 100 members of the Chinese Academy of Science and the Chinese Academy of Engineering.",41,6.999866,4.1795053,3,p0535|p0176|p0016|p0088|p0086,Other sections
p0020,Part 1: General Information,Partners,Kunshan,13,"Kunshan is located in the southeastern part of Jiangsu province, a satellite city in the greater Suzhou region and adjacent to Shanghai, two of the most developed metropolitan areas in China. Kunshan is regarded as one of the country's most economically successful county-level administrations. It ranked No 1 in the 25 Best County-level Cities in China study by Forbes China for the ninth year running in 2009. With an immigrant population larger than the number of its permanent residents, Kunshan was winner of the 2010 UN-Habitat Scroll of Honor Award, the most prestigious award given by the United Nations, along with Singapore and Vienna in recognition of work carried out in the field of human settlements development, for the city's innovative approach to granting migrants the right to essential services.","Kunshan is located in the southeastern part of Jiangsu province, a satellite city in the greater Suzhou region and adjacent to Shanghai, two of the most developed metropolitan areas in China. Kunshan is regarded as one of the country's most economically successful county-level administrations. It ranked No 1 in the 25 Best County-level Cities in China study by Forbes China for the ninth year running in 2009. With an immigrant population larger than the number of its permanent residents, Kunshan was winner of the 2010 UN-Habitat Scroll of Honor Award, the most prestigious award given by the United Nations, along with Singapore and Vienna in recognition of work carried out in the field of human settlements development, for the city's innovative approach to granting migrants the right to essential services.",130,7.2059574,3.4186814,6,p0012|p0113|p0098|p0029|p0003,Other sections
p0021,Part 1: General Information,Partners,Kunshan,13,"It also has received titles and awards such as a National Hygiene City, Excellent Tourism City of China and National Garden City, as well as National Model City of Environment Protection and National Model Zone of Ecology.","It also has received titles and awards such as a National Hygiene City, Excellent Tourism City of China and National Garden City, as well as National Model City of Environment Protection and National Model Zone of Ecology.",37,3.4834423,0.21581766,4,p0020|p1188|p0486|p0873|p0794,Other sections
p0022,Part 1: General Information,Partners,Kunshan,13,"Kunshan is culturally significant as the origin of Kunshan diao, the melody that ultimately evolved into Kunqu Opera, one of China's oldest extant theatre arts, which has been listed as UNESCO as World Intangible Culture Heritage. It has also been home to famous figures including Zu Chongzhi, Gu Yanwu, Gui Youguang, Gong Xian and Zhu Bailu.","Kunshan is culturally significant as the origin of Kunshan diao, the melody that ultimately evolved into Kunqu Opera, one of China's oldest extant theatre arts, which has been listed as UNESCO as World Intangible Culture Heritage. It has also been home to famous figures including Zu Chongzhi, Gu Yanwu, Gui Youguang, Gong Xian and Zhu Bailu.",56,4.212436,0.42763722,4,p0423|p1037|p0943|p0899|p0685,Other sections
p0023,Part 1: General Information,Duke Kunshan University Community Standard,,13,"All Duke Kunshan University students are required to hold themselves to the highest standards for honesty, integrity, fairness, and responsibility in their academic and co-curricular endeavors. Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust.","All Duke Kunshan University students are required to hold themselves to the highest standards for honesty, integrity, fairness, and responsibility in their academic and co-curricular endeavors. Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust.",87,7.3642287,3.427055,6,p0429|p0447|p0003|p0000|p0005,Other sections
p0024,Part 1: General Information,Duke Kunshan University Community Standard,,13,"To uphold the Community Standard, each student is expected to pledge to hold him/herself to the highest standards for honesty, integrity, fairness, and responsibility in his/her academic and non-academic endeavors, to respect other cultures and embrace all forms of diversity, and to uphold the standards if they are compromised.","To uphold the Community Standard, each student is expected to pledge to hold him/herself to the highest standards for honesty, integrity, fairness, and responsibility in his/her academic and non-academic endeavors, to respect other cultures and embrace all forms of diversity, and to uphold the standards if they are compromised.",49,0.25270495,0.9606728,7,p0154|p0410|p0153|p0006|p0522,Other sections
p0025,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,,14,"The Duke Kunshan University curriculum begins from liberal arts principles and is imbued with the hallmarks of a Duke education blended with Chinese tradition: interdisciplinary approaches, engagement with research questions, problem-based and team-based learning, and opportunities for students to craft individual pathways and deepen their intellectual engagement over time. It is a kind of education that builds critical thinking and problem-solving skills, simultaneously conferring a broad base of knowledge and fostering the ability to interrogate that knowledge and apply it flexibly. It is also deeply cross-cultural in its orientation: Duke Kunshan University gives all participants the continual experience of learning to see from multiple points of view and to work together across cultural boundaries—a crucial skill for the future.","The Duke Kunshan University curriculum begins from liberal arts principles and is imbued with the hallmarks of a Duke education blended with Chinese tradition: interdisciplinary approaches, engagement with research questions, problem-based and team-based learning, and opportunities for students to craft individual pathways and deepen their intellectual engagement over time. It is a kind of education that builds critical thinking and problem-solving skills, simultaneously conferring a broad base of knowledge and fostering the ability to interrogate that knowledge and apply it flexibly. It is also deeply cross-cultural in its orientation: Duke Kunshan University gives all participants the continual experience of learning to see from multiple points of view and to work together across cultural boundaries—a crucial skill for the future.",119,7.0437174,3.2211769,6,p0008|p0029|p0038|p0003|p0009,Other sections
p0026,Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,,14,"The small-scale residential setting at Duke Kunshan University offers significant opportunities for innovative and integrated forms of learning, an especially close connection between faculty and students, and the intermixing of students with different interests. In addition, Duke Kunshan University offers creative alignments between its undergraduate curriculum and selected areas of research strength at Duke Kunshan University and at Duke. Liberal arts colleges provide direct access to research opportunities for undergraduates – they leverage their small size and commitment to teaching to provide opportunities for one-on-one and small team-based scholarly mentoring. In the United States, liberal arts colleges disproportionately produce students who go on to earn PhD’s.","The small-scale residential setting at Duke Kunshan University offers significant opportunities for innovative and integrated forms of learning, an especially close connection between faculty and students, and the intermixing of students with different interests. In addition, Duke Kunshan University offers creative alignments between its undergraduate curriculum and selected areas of research strength at Duke Kunshan University and at Duke. Liberal arts colleges provide direct access to research opportunities for undergraduates – they leverage their small size and commitment to teaching to provide opportunities for one-on-one and small team-based scholarly mentoring. In the United States, liberal arts colleges disproportionately produce students who go on to earn PhD’s.",106,7.218252,3.1374757,6,p0038|p0003|p0029|p0025|p0009,Other sections
p0027,Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,,14,Duke Kunshan University offers the same kinds of focus on discovery and the co-creation of knowledge as at liberal arts colleges with the added dimension of research centers on site and connections to a major research university in the United States and to Wuhan University in China.,Duke Kunshan University offers the same kinds of focus on discovery and the co-creation of knowledge as at liberal arts colleges with the added dimension of research centers on site and connections to a major research university in the United States and to Wuhan University in China.,47,7.1121755,3.3339205,6,p0012|p0029|p0003|p0007|p0038,Other sections
p0028,Part 2: A Liberal Arts Education at Duke Kunshan University,Dual Degrees,,14,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.,92,7.618275,4.518785,6,p0083|p0052|p0183|p0084|p0085,Other sections
p0029,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,14,"Duke Kunshan University provides a 21st century liberal arts and sciences education that helps students develop a sense of social responsibility and global citizenship, as well as strong and transferable intellectual and practical skills such as communication, analytical and problem-solving skills, and a demonstrated ability to apply knowledge and skills in real-world settings.","Duke Kunshan University provides a 21st century liberal arts and sciences education that helps students develop a sense of social responsibility and global citizenship, as well as strong and transferable intellectual and practical skills such as communication, analytical and problem-solving skills, and a demonstrated ability to apply knowledge and skills in real-world settings.",53,7.1104965,3.2874944,6,p0003|p0008|p0025|p0009|p0429,Other sections
p0030,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,The overarching goals are embedded in the seven animating principles that are expressed throughout the curriculum:,The overarching goals are embedded in the seven animating principles that are expressed throughout the curriculum:,16,3.931901,3.0476823,7,p1036|p1049|p1050|p0045|p0096,Other sections
p0031,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,"• Rooted Globalism: To cultivate informed and engaged citizens who are knowledgeable about each other’s histories, traditions of thought and affiliations; and skilled in navigating among local, national and global identities and commitments.","• Rooted Globalism: To cultivate informed and engaged citizens who are knowledgeable about each other’s histories, traditions of thought and affiliations; and skilled in navigating among local, national and global identities and commitments.",33,1.9148191,0.93560743,5,p0960|p1068|p0732|p0542|p0877,Other sections
p0032,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,• Collaborative Problem-Solving: To instill the habits of collaboration and the ability to synthesize disparate insights in solving complex challenges.,• Collaborative Problem-Solving: To instill the habits of collaboration and the ability to synthesize disparate insights in solving complex challenges.,20,2.735765,3.5437732,7,p0480|p0456|p0479|p0042|p1303,Other sections
p0033,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,• Research and Practice: To enhance the ability to forge links between theory and practice in the many-sided and rapidly changing world of human need.,• Research and Practice: To enhance the ability to forge links between theory and practice in the many-sided and rapidly changing world of human need.,25,2.5274537,2.4609122,5,p0037|p0032|p0491|p0723|p0850,Other sections
p0034,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,"• Lucid Communication: To develop the ability to communicate effectively, both orally and in writing, and to listen attentively to different viewpoints in coming to mature judgments.","• Lucid Communication: To develop the ability to communicate effectively, both orally and in writing, and to listen attentively to different viewpoints in coming to mature judgments.",27,4.563672,2.4317298,7,p0045|p0812|p1074|p0035|p1052,Other sections
p0035,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,"• Independence and Creativity: To nurture free inquiry, deep reflection and a drive to ask interesting questions and find compelling answers.","• Independence and Creativity: To nurture free inquiry, deep reflection and a drive to ask interesting questions and find compelling answers.",21,3.2356215,3.125232,0,p0037|p1025|p1024|p1245|p1257,Other sections
p0036,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,• Wise Leadership: To shape thinkers and doers who possess the moral compass to guide communities and institutions toward a common good and who have the wisdom and technical competence to deal effectively with complexity.,• Wise Leadership: To shape thinkers and doers who possess the moral compass to guide communities and institutions toward a common good and who have the wisdom and technical competence to deal effectively with complexity.,35,-0.13184191,0.9521344,7,p0519|p1203|p0421|p0804|p0520,Other sections
p0037,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,"• A Purposeful Life: To form reflective scholars who test their core beliefs, connect their course of study to big questions of meaning, and who build the capacity for lifelong learning and exploration.","• A Purposeful Life: To form reflective scholars who test their core beliefs, connect their course of study to big questions of meaning, and who build the capacity for lifelong learning and exploration.",33,2.9590926,2.8298628,7,p0035|p0033|p0042|p0414|p0376,Other sections
p0038,Part 3: The Curriculum,Overview,,16,"The Duke Kunshan University undergraduate curriculum can be described as a “research-inflected liberal arts experience” that builds on the unique DNA of Duke as a major research university but with a strong liberal arts philosophy, structure and orientation. The curriculum does not rely on traditional majors housed in departments, but rather is built on interdisciplinary and disciplinary components in and across three thematic areas: (1) natural and applied sciences, (2) social sciences, and (3) arts and humanities. Flexibility and inter-disciplinarity are hallmarks of this curriculum, along with signature work that enables students to engage scholarship both individually and within a community of learners.","The Duke Kunshan University undergraduate curriculum can be described as a “research-inflected liberal arts experience” that builds on the unique DNA of Duke as a major research university but with a strong liberal arts philosophy, structure and orientation. The curriculum does not rely on traditional majors housed in departments, but rather is built on interdisciplinary and disciplinary components in and across three thematic areas: (1) natural and applied sciences, (2) social sciences, and (3) arts and humanities. Flexibility and inter-disciplinarity are hallmarks of this curriculum, along with signature work that enables students to engage scholarship both individually and within a community of learners.",103,7.038699,3.248795,6,p0003|p0025|p0029|p0026|p0009,Other sections
p0039,Part 3: The Curriculum,Overview,,16,"This curriculum is designed to be compatible with the quality and depth of a Duke undergraduate degree but is unique and distinct from the current Duke undergraduate experience, which is aligned more with a traditional major’s structure.","This curriculum is designed to be compatible with the quality and depth of a Duke undergraduate degree but is unique and distinct from the current Duke undergraduate experience, which is aligned more with a traditional major’s structure.",37,7.7670245,3.9927444,6,p0014|p0404|p0038|p0394|p0008,Other sections
p0040,Part 3: The Curriculum,Overview,,16,"The curriculum fosters learning communities of students and faculty whose intellectual interactions revolve around two groups: (1) The interdisciplinary community, which spans laterally a variety of disciplines. To the big questions at the core of each interdisciplinary community will be deployed a variety of disciplines, voices, viewpoints and expertise, usually also from a variety of divisions. The deep expertise brought to bear on discussion will be provided by both faculty and advanced students. (2) The disciplinary specialization, which is akin to, or even entirely aligned to, a traditional vertical discipline. From this community comes the training in the methods, knowledge, and skills of a specific discipline. Individual courses that belong to an interdisciplinary community or disciplinary specialization may be taken at various stages of a students’ career.","The curriculum fosters learning communities of students and faculty whose intellectual interactions revolve around two groups: (1) The interdisciplinary community, which spans laterally a variety of disciplines. To the big questions at the core of each interdisciplinary community will be deployed a variety of disciplines, voices, viewpoints and expertise, usually also from a variety of divisions. The deep expertise brought to bear on discussion will be provided by both faculty and advanced students. (2) The disciplinary specialization, which is akin to, or even entirely aligned to, a traditional vertical discipline. From this community comes the training in the methods, knowledge, and skills of a specific discipline. Individual courses that belong to an interdisciplinary community or disciplinary specialization may be taken at various stages of a students’ career.",127,2.5878243,3.3808942,7,p0075|p0042|p1293|p0041|p1294,Other sections
p0041,Part 3: The Curriculum,Overview,,16,But the interdisciplinary community comes first in a students’ overall development – it provides a broad intellectual home and is followed by or is in parallel to more specialized work.,But the interdisciplinary community comes first in a students’ overall development – it provides a broad intellectual home and is followed by or is in parallel to more specialized work.,30,2.61126,3.399756,7,p0040|p0075|p0042|p1293|p0006,Other sections
